Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (1 epoch = 11717 batches, ~46868 grad updates @ inner_steps=4)...
step  8400/46868 | loss 0.7383 | lr 2.80e-04 | t 609s
step  8500/46868 | loss 0.6208 | lr 2.79e-04 | t 616s
step  8600/46868 | loss 0.8312 | lr 2.79e-04 | t 623s
step  8700/46868 | loss 0.8074 | lr 2.78e-04 | t 631s
step  8800/46868 | loss 0.9852 | lr 2.78e-04 | t 638s
step  8900/46868 | loss 0.9226 | lr 2.77e-04 | t 645s
step  9000/46868 | loss 0.8120 | lr 2.77e-04 | t 653s
step  9100/46868 | loss 0.8239 | lr 2.76e-04 | t 660s
step  9200/46868 | loss 0.8581 | lr 2.76e-04 | t 667s
step  9300/46868 | loss 0.9374 | lr 2.75e-04 | t 674s
step  9400/46868 | loss 0.9073 | lr 2.75e-04 | t 682s
step  9500/46868 | loss 0.7666 | lr 2.74e-04 | t 689s
step  9600/46868 | loss 0.5387 | lr 2.73e-04 | t 696s
step  9700/46868 | loss 0.7162 | lr 2.73e-04 | t 703s
step  9800/46868 | loss 0.6733 | lr 2.72e-04 | t 710s
step  9900/46868 | loss 1.0021 | lr 2.72e-04 | t 717s
step 10000/46868 | loss 0.6554 | lr 2.71e-04 | t 725s
step 10100/46868 | loss 0.8321 | lr 2.71e-04 | t 732s
step 10200/46868 | loss 0.6849 | lr 2.70e-04 | t 739s
step 10300/46868 | loss 0.7422 | lr 2.70e-04 | t 747s
step 10400/46868 | loss 0.7811 | lr 2.69e-04 | t 754s
step 10500/46868 | loss 0.5723 | lr 2.68e-04 | t 761s
step 10600/46868 | loss 0.5770 | lr 2.68e-04 | t 768s
step 10700/46868 | loss 0.5953 | lr 2.67e-04 | t 776s
step 10800/46868 | loss 0.5310 | lr 2.67e-04 | t 783s
step 10900/46868 | loss 0.6495 | lr 2.66e-04 | t 790s
step 11000/46868 | loss 0.5548 | lr 2.65e-04 | t 797s
step 11100/46868 | loss 0.6849 | lr 2.65e-04 | t 804s
step 11200/46868 | loss 0.7733 | lr 2.64e-04 | t 811s
step 11300/46868 | loss 0.6415 | lr 2.64e-04 | t 819s
step 11400/46868 | loss 0.6707 | lr 2.63e-04 | t 826s
step 11500/46868 | loss 0.5786 | lr 2.62e-04 | t 833s
step 11600/46868 | loss 0.7333 | lr 2.62e-04 | t 840s
step 11700/46868 | loss 0.4920 | lr 2.61e-04 | t 848s
step 11800/46868 | loss 0.6045 | lr 2.60e-04 | t 855s
step 11900/46868 | loss 0.7057 | lr 2.60e-04 | t 862s
step 12000/46868 | loss 0.6376 | lr 2.59e-04 | t 869s
step 12100/46868 | loss 0.7577 | lr 2.58e-04 | t 877s
step 12200/46868 | loss 0.5164 | lr 2.58e-04 | t 884s
step 12300/46868 | loss 0.5884 | lr 2.57e-04 | t 891s
step 12400/46868 | loss 0.5202 | lr 2.56e-04 | t 898s
step 12500/46868 | loss 0.6054 | lr 2.56e-04 | t 905s
step 12600/46868 | loss 0.6078 | lr 2.55e-04 | t 912s
step 12700/46868 | loss 0.6451 | lr 2.54e-04 | t 919s
