Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step  9300 | loss 0.9617 | lr 6.22e-05 | t 465s
step  9400 | loss 0.6038 | lr 5.99e-05 | t 470s
step  9500 | loss 0.8399 | lr 5.77e-05 | t 476s
step  9600 | loss 0.7235 | lr 5.56e-05 | t 480s
step  9700 | loss 0.6466 | lr 5.36e-05 | t 485s
step  9800 | loss 0.6261 | lr 5.17e-05 | t 490s
step  9900 | loss 0.6021 | lr 4.97e-05 | t 495s
step 10000 | loss 0.7598 | lr 4.80e-05 | t 500s
step 10100 | loss 0.8627 | lr 4.62e-05 | t 506s
step 10200 | loss 0.6944 | lr 4.45e-05 | t 511s
step 10300 | loss 0.4431 | lr 4.29e-05 | t 516s
step 10400 | loss 0.6164 | lr 4.15e-05 | t 521s
step 10500 | loss 0.8878 | lr 4.01e-05 | t 526s
step 10600 | loss 0.5469 | lr 3.88e-05 | t 531s
step 10700 | loss 0.5829 | lr 3.75e-05 | t 536s
step 10800 | loss 0.5447 | lr 3.64e-05 | t 541s
step 10900 | loss 0.8482 | lr 3.54e-05 | t 546s
step 11000 | loss 0.6080 | lr 3.44e-05 | t 551s
step 11100 | loss 0.8902 | lr 3.35e-05 | t 556s
step 11200 | loss 0.5996 | lr 3.28e-05 | t 561s
step 11300 | loss 0.5780 | lr 3.21e-05 | t 566s
step 11400 | loss 0.5651 | lr 3.15e-05 | t 571s
step 11500 | loss 0.9130 | lr 3.10e-05 | t 577s
step 11600 | loss 0.5524 | lr 3.06e-05 | t 581s
step 11700 | loss 0.8454 | lr 3.03e-05 | t 587s
step 11800 | loss 0.8002 | lr 3.01e-05 | t 591s
step 11900 | loss 0.6262 | lr 3.00e-05 | t 596s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.4138
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  per_position_acc: ['0.750', '1.000', '0.333', '0.333', '0.667', '0.333', '0.667']
