Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step  9300 | loss 0.5287 | lr 5.98e-05 | t 471s
step  9400 | loss 0.4550 | lr 5.77e-05 | t 476s
step  9500 | loss 0.5336 | lr 5.56e-05 | t 481s
step  9600 | loss 0.5908 | lr 5.36e-05 | t 485s
step  9700 | loss 0.4966 | lr 5.16e-05 | t 490s
step  9800 | loss 0.3630 | lr 4.98e-05 | t 495s
step  9900 | loss 0.4890 | lr 4.79e-05 | t 500s
step 10000 | loss 0.5830 | lr 4.62e-05 | t 505s
step 10100 | loss 0.5002 | lr 4.45e-05 | t 511s
step 10200 | loss 0.6478 | lr 4.30e-05 | t 516s
step 10300 | loss 0.7249 | lr 4.15e-05 | t 521s
step 10400 | loss 0.5513 | lr 4.01e-05 | t 526s
step 10500 | loss 0.3966 | lr 3.87e-05 | t 531s
step 10600 | loss 0.7669 | lr 3.75e-05 | t 536s
step 10700 | loss 0.6103 | lr 3.64e-05 | t 541s
step 10800 | loss 0.5101 | lr 3.53e-05 | t 546s
step 10900 | loss 0.4177 | lr 3.44e-05 | t 551s
step 11000 | loss 0.5675 | lr 3.35e-05 | t 556s
step 11100 | loss 0.5328 | lr 3.28e-05 | t 561s
step 11200 | loss 0.7212 | lr 3.21e-05 | t 566s
step 11300 | loss 0.4458 | lr 3.15e-05 | t 571s
step 11400 | loss 0.5919 | lr 3.11e-05 | t 576s
step 11500 | loss 0.7817 | lr 3.07e-05 | t 581s
step 11600 | loss 0.4179 | lr 3.04e-05 | t 586s
step 11700 | loss 0.4974 | lr 3.02e-05 | t 591s
step 11800 | loss 0.6110 | lr 3.00e-05 | t 596s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.2893
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  per_position_acc: ['1.000', '1.000', '0.333', '0.333', '0.667', '0.333', '1.000']
